order_id,customer_id,order_date,product,category,quantity,unit_price,order_status
O1001,C001,2025-05-01,Laptop,Electronics,1,65000,COMPLETED
O1002,C002,2025-05-01,Headphones,Electronics,2,2500,COMPLETED
O1003,C003,2025-05-02,Office Chair,Furniture,1,8500,COMPLETED
O1004,C001,2025-05-03,Keyboard,Electronics,1,1800,COMPLETED
O1005,C004,2025-05-04,Monitor,Electronics,2,15000,COMPLETED
O1006,C005,2025-05-05,Desk,Furniture,1,12000,COMPLETED
O1007,C006,2025-05-06,Mouse,Electronics,3,900,COMPLETED
O1008,C007,2025-05-07,Backpack,Accessories,2,1800,CANCELLED
O1009,C008,2025-05-08,Tablet,Electronics,1,28000,COMPLETED
O1010,C009,2025-05-09,Smartphone,Electronics,1,45000,COMPLETED
O1011,C010,2025-05-10,Desk Lamp,Home,2,1200,COMPLETED
O1012,C002,2025-05-11,Webcam,Electronics,1,3500,COMPLETED
O1013,C003,2025-05-12,Bookshelf,Furniture,1,7000,COMPLETED
O1014,C004,2025-05-13,USB Cable,Accessories,5,400,COMPLETED
O1015,C005,2025-05-14,Printer,Electronics,1,18000,COMPLETED
